wave number,-5_1,-5_2,-5_3,-5_4,-5_5,-5_6,-5_7,-5_8,-7_1,-7_2,-7_3,-8_1,-8_2,-8_3,-8_4,-9_1,-9_2,-9_3,-9_4,-10_1,-10_2,-10_3
467.148,12676,13168,10704,31360,15350,15778,25068,16582,8738,14668,15644,21864,26452,13816,15630,27228,12788,13860,22764,6788,25722,10228
468.911,12714,13066,10768,31182,15348,15922,24994,16508,8726,14758,15548,21904,26418,13872,15768,27296,12826,13956,22712,6834,25882,10164
470.674,12710,13090,10738,30882,15294,15884,25030,16714,8742,14786,15746,22046,26538,13966,15662,27406,12834,13946,22964,6826,25998,10286
472.434,12724,13192,10848,30722,15244,15906,25360,16634,8822,14856,15722,21904,26420,13838,15782,27598,12878,13750,22796,6924,25902,10248
474.196,12728,13076,10758,30408,15366,16038,25340,16892,8776,14940,15608,21904,26606,13844,15636,27500,12926,14012,22902,6862,25876,10246
475.957,12912,13166,10748,30182,15426,16100,25222,16808,8900,14888,15752,21954,26652,13816,15684,27686,12998,14046,22966,6804,26026,10354
477.717,12812,13326,10908,29758,15438,16030,25360,16884,8776,14924,15646,21932,26838,13928,15936,27546,13080,13952,22890,6788,25986,10270
479.478,12800,12972,10838,29336,15332,16030,25368,16782,8780,14924,15744,22040,26766,14104,15786,27614,12988,14050,23090,6862,26058,10202
481.238,12874,13096,10920,29654,15574,16196,25340,16924,8834,15084,15830,22214,26792,14044,16024,27662,13060,14204,23140,6880,26002,10358
482.997,12986,13234,10776,29192,15630,16160,25436,17072,8896,15016,15836,22124,26892,14122,15828,27840,13064,14214,23006,6800,26204,10322
484.757,12760,13420,10950,28902,15494,16092,25372,17018,8862,15064,15872,22106,26858,14122,16026,27856,13144,14022,22906,6854,26288,10384
486.516,13030,13222,10884,28686,15496,16150,25452,16934,8908,15166,15702,22392,27272,14282,15950,27754,12900,14188,23358,6806,26148,10508
488.273,13000,13312,10990,28404,15366,16336,25732,17104,8902,15300,15826,22278,27094,14194,16160,27932,13028,14238,23002,6940,26244,10430
490.032,12994,13448,11046,28248,15520,16126,25538,17078,8840,15060,15980,22300,27052,14010,16016,28004,13156,14206,23282,6874,26552,10438
491.791,13056,13274,11024,28046,15518,16302,25688,17158,8932,15240,15994,22418,27134,14134,16238,28008,13074,14096,23118,6878,26452,10350
493.547,12944,13438,11100,27700,15726,16418,25808,17204,8938,15296,16082,22196,27158,14116,15944,28058,13152,14354,23020,6968,26518,10574
495.305,12960,13370,10968,27416,15834,16302,25894,17236,8900,15160,15868,22402,27138,14224,16094,28166,13142,14312,23336,7040,26536,10454
497.063,12986,13500,11022,27372,15676,16386,25756,17204,8956,15196,15942,22394,27192,14182,15948,28556,13166,14280,23358,6926,26634,10536
498.818,13064,13476,11172,27030,15722,16536,25836,17146,8950,15374,15890,22534,27298,14218,16120,28180,13170,14364,23532,6962,26694,10510
500.575,12986,13282,10978,26784,15750,16604,25910,17116,8918,15392,16104,22580,27340,14360,16252,28114,13152,14488,23264,6980,26960,10482
502.331,13072,13362,11058,26876,15854,16362,26000,17312,9110,15210,16070,22594,27456,14292,16240,28622,13226,14384,23502,6946,26558,10638
504.086,13094,13410,10956,26592,15872,16316,25796,17370,8952,15340,16006,22422,27502,14234,16408,28514,13272,14302,23458,6912,26750,10544
505.842,13014,13430,10858,26482,15700,16540,26120,17274,8994,15384,16036,22644,27384,14164,16098,28490,13208,14432,23506,7000,26732,10522
507.595,13166,13488,11024,26126,15824,16556,25888,17346,8946,15374,16122,22562,27382,14238,16338,28610,13166,14476,23610,6874,26758,10456
509.35,13114,13388,10986,25876,15804,16678,26118,17308,8944,15366,16032,22564,27424,14276,16386,28404,13192,14466,23582,6828,26608,10528
511.105,13026,13358,11042,25656,15928,16544,25880,17232,8902,15310,16110,22462,27562,14326,16368,28242,13116,14302,23584,6858,26766,10478
512.858,13120,13404,11092,25464,15748,16574,25840,17410,8988,15298,15994,22630,27270,14152,16098,28500,13208,14280,23614,6912,27030,10374
514.612,13088,13502,11054,25354,15826,16518,26178,17326,8908,15302,15978,22722,27416,14178,16346,28360,13168,14338,23692,6916,26944,10486
516.364,13158,13566,10894,25152,15684,16648,26066,17372,8928,15420,16054,22684,27496,14206,16282,28348,13218,14404,23564,6872,26748,10478
518.117,13118,13366,10974,24848,15954,16516,25984,17402,8946,15632,15994,22730,27430,14310,16430,28184,13288,14406,23730,6866,26652,10522
519.869,13130,13426,11028,24846,15766,16502,26038,17328,8850,15430,16136,22596,27442,14212,16316,28308,13294,14568,23570,6796,26764,10502
521.621,13036,13404,10984,24614,15788,16582,26108,17156,8904,15154,16112,22672,27588,14188,16104,28300,13202,14336,23822,6886,26736,10506
523.372,13190,13516,11044,24608,15760,16650,25980,17422,8946,15472,16074,22500,27542,14298,16178,28190,13122,14340,23698,6726,26896,10410
525.124,13136,13576,10970,24338,15904,16480,25914,17328,8974,15514,16146,22698,27530,14332,16124,28368,13224,14434,23752,6854,26984,10438
526.874,13206,13426,11080,24196,15836,16310,26002,17354,8836,15362,16164,22718,27338,14272,16254,28408,13304,14570,23560,6812,26836,10536
528.625,12972,13562,11086,24090,15680,16534,25932,17368,8860,15386,16098,22720,27578,14252,16292,28456,13118,14518,23592,6748,26770,10494
530.375,13016,13592,10960,23726,15886,16524,25864,17392,8892,15442,15958,22756,27508,14164,16392,28412,13188,14476,23788,6730,26928,10498
