wave number,-1_1,-1_2,-1_3,-1_4,-1_5,-1_6,-1_7,-1_8,-1_9,-1_10,-1_11,-1_12,-1_13,-1_14,-1_15,-1_16,-1_17,-1_18,-2_1,-2_2,-2_3,-2_4,-2_5,-2_6,-2_7,-2_8,-3_1,-3_2,-3_3,-3_4,-3_5,-3_6,-4_1,-4_2,-4_3,-4_4,-4_5,-4_6,-5_1,-5_2,-5_3,-5_4,-5_5,-6_1,-6_2,-6_3,-6_4,-6_5, 
862.83,64543.0,64543.0,2259.0,19658.0,21052.0,16929.0,32631.0,55902.0,24707.0,21338.0,64543.0,39314.0,38741.0,10535.0,50461.0,64543.0,64543.0,64543.0,64543.0,64543.0,33196.0,64543.0,12538.0,64543.0,27191.0,12172.0,26125.0,27466.0,54990.0,23878.0,18808.0,46265.0,2434.0,2442.0,2737.0,3195.0,958.0,3151.0,1185.0,913.0,1999.0,1067.0,2243.0,605.0,606.0,637.0,501.0,632.0,
864.5160000000001,64543.0,64543.0,2268.0,19615.0,21056.0,16897.0,32604.0,55736.0,24755.0,21335.0,64543.0,39291.0,38762.0,10512.0,50447.0,64543.0,64543.0,64543.0,64543.0,64543.0,33335.0,64543.0,12425.0,64543.0,27286.0,12069.0,26078.0,27331.0,54873.0,23852.0,18645.0,46206.0,2409.0,2454.0,2725.0,3207.0,935.0,3164.0,1158.0,934.0,2005.0,1057.0,2187.0,629.0,607.0,640.0,491.0,617.0,
866.201,64543.0,64543.0,2286.0,19645.0,21117.0,17092.0,32683.0,55970.0,24657.0,21262.0,64543.0,39231.0,38738.0,10520.0,50221.0,64543.0,64543.0,64543.0,64543.0,64543.0,33355.0,64543.0,12556.0,64543.0,27284.0,12054.0,26131.0,27377.0,54898.0,23814.0,18741.0,46347.0,2430.0,2442.0,2712.0,3218.0,930.0,3133.0,1141.0,906.0,2029.0,1041.0,2209.0,631.0,634.0,650.0,505.0,616.0,
867.8839999999999,64543.0,64543.0,2279.0,19617.0,21131.0,16991.0,32702.0,55795.0,24625.0,21351.0,64543.0,39191.0,38739.0,10467.0,50353.0,64543.0,64543.0,64543.0,64543.0,64543.0,33452.0,64543.0,12499.0,64543.0,27297.0,11998.0,25984.0,27519.0,54742.0,23870.0,18618.0,46177.0,2453.0,2443.0,2695.0,3221.0,945.0,3122.0,1144.0,923.0,2009.0,1039.0,2180.0,622.0,616.0,639.0,492.0,624.0,
869.569,64543.0,64543.0,2318.0,19560.0,20966.0,17077.0,32500.0,56255.0,24793.0,21374.0,64543.0,39401.0,38851.0,10500.0,50606.0,64543.0,64543.0,64543.0,64543.0,64543.0,33405.0,64543.0,12482.0,64543.0,27318.0,12103.0,25935.0,27302.0,54586.0,23782.0,18612.0,46216.0,2428.0,2478.0,2699.0,3211.0,934.0,3093.0,1158.0,927.0,1987.0,1038.0,2194.0,606.0,620.0,659.0,473.0,609.0,
871.2539999999999,64543.0,64543.0,2323.0,19795.0,21205.0,17037.0,32597.0,56102.0,24570.0,21420.0,64543.0,39531.0,38855.0,10543.0,50478.0,64543.0,64543.0,64543.0,64543.0,64543.0,33554.0,64543.0,12526.0,64543.0,27287.0,12195.0,26045.0,27321.0,54942.0,23797.0,18672.0,45929.0,2453.0,2443.0,2735.0,3259.0,930.0,3151.0,1143.0,913.0,1999.0,1038.0,2229.0,616.0,609.0,634.0,489.0,638.0,
872.936,64543.0,64543.0,2326.0,19763.0,21183.0,17120.0,32717.0,56236.0,24864.0,21448.0,64543.0,39292.0,38970.0,10493.0,50723.0,64543.0,64543.0,64543.0,64543.0,64543.0,33293.0,64543.0,12510.0,64543.0,27399.0,12143.0,26107.0,27488.0,54936.0,23707.0,18641.0,46295.0,2470.0,2397.0,2697.0,3245.0,948.0,3126.0,1179.0,918.0,2048.0,1075.0,2191.0,623.0,618.0,632.0,506.0,651.0,
874.62,64543.0,64543.0,2244.0,19826.0,21204.0,17106.0,32783.0,56399.0,24740.0,21504.0,64543.0,39328.0,39095.0,10561.0,50597.0,64543.0,64543.0,64543.0,64543.0,64543.0,33600.0,64543.0,12596.0,64543.0,27426.0,12240.0,26034.0,27343.0,54794.0,23957.0,18629.0,46252.0,2436.0,2423.0,2723.0,3194.0,952.0,3171.0,1174.0,915.0,1991.0,1067.0,2205.0,604.0,626.0,633.0,502.0,640.0,
876.303,64543.0,64543.0,2291.0,19712.0,21141.0,17160.0,32907.0,56459.0,24918.0,21651.0,64543.0,39618.0,38947.0,10491.0,50920.0,64543.0,64543.0,64543.0,64543.0,64543.0,33572.0,64543.0,12579.0,64543.0,27468.0,12307.0,26182.0,27463.0,55032.0,23824.0,18597.0,46287.0,2410.0,2470.0,2742.0,3195.0,955.0,3116.0,1160.0,921.0,2021.0,1056.0,2220.0,611.0,627.0,644.0,504.0,656.0,
877.9839999999999,64543.0,64543.0,2344.0,19761.0,21319.0,17226.0,32960.0,56621.0,25033.0,21764.0,64543.0,39574.0,39161.0,10622.0,51118.0,64543.0,64543.0,64543.0,64543.0,64543.0,33610.0,64543.0,12694.0,64543.0,27580.0,12348.0,26152.0,27480.0,54649.0,23871.0,18705.0,46038.0,2444.0,2430.0,2716.0,3280.0,957.0,3200.0,1160.0,910.0,2042.0,1059.0,2223.0,608.0,599.0,640.0,509.0,622.0,
