wave number,-1_1,-1_2,-1_3,-2_1,-2_2,-2_3,-3_1,-3_2,-4_1,-4_2,-5_1,-5_2,-6_1,-6_2,-6_3,-6_4,-6_5,-6_6,-7_1,-7_2,-7_3,-7_4,-7_5
1807.529663,8028.6006,13033.9385,9892.8662,8951.9766,7508.0068,8063.625,6294.8813,5248.9185,2107.8459,2671.4241,3037.5906,3209.5298,3241.3704,1359.5924,1480.5867,1907.2502,2808.3386,2189.0393,2469.2363,2792.4182,2970.7253,3056.6951,4152.0107
1805.959351,8030.3809,13079.4131,10008.9268,8993.3896,7581.5073,8160.9043,6279.4556,5399.2173,2075.6426,2701.2004,2962.2476,3202.6018,3129.3813,1384.8229,1434.1671,1870.3068,2828.5405,2266.6526,2513.374,2839.6829,2943.1465,3014.7754,4176.7529
1804.389038,8032.1577,12983.2266,10005.583,8877.2295,7541.9849,8083.085,6370.6616,5274.1372,2138.938,2713.4592,3015.8389,3280.0232,3332.5417,1389.3549,1468.9285,1839.7413,2750.0632,2291.7192,2412.6711,2864.6492,2845.5515,3052.4429,4166.4731
1802.818726,7911.4097,12985.7227,9956.0918,8924.999,7550.209,8111.8999,6344.085,5282.7593,2151.2925,2673.2036,2999.3979,3250.8064,3182.3853,1338.193,1465.4884,1942.8462,2794.1343,2251.5376,2520.449,2827.5493,2889.6057,3099.6431,4153.0127
1801.24646,7954.5645,12991.3945,10118.2061,8805.7031,7494.791,8077.0649,6370.0151,5388.4219,2085.6868,2699.7793,2989.3254,3232.7351,3169.0986,1336.3668,1506.5946,1928.1865,2800.0068,2255.9146,2427.7332,2866.8252,2903.416,3065.6892,4203.1919
1799.674194,8105.8647,13055.9141,10092.5654,8969.5781,7590.4995,8136.0869,6465.9224,5360.4326,2140.9917,2683.3975,2902.9048,3197.1719,3244.8909,1361.5817,1506.3292,1886.4905,2852.0046,2306.4175,2505.2466,2850.4141,2909.2673,3052.4243,4188.1362
1798.101929,8001.062,12939.1055,10058.9775,8953.6826,7552.5825,8067.8564,6434.5649,5303.8247,2118.3491,2764.032,2959.6455,3258.6316,3285.6677,1296.1371,1475.8468,1898.8805,2751.3093,2325.095,2538.2021,2851.5015,2929.4287,3059.8376,4120.6025
1796.529663,8052.1201,13118.0869,9963.3857,8853.5156,7452.6631,8134.8037,6514.5215,5291.7568,2149.7761,2755.5933,3089.5081,3176.9622,3266.0061,1314.9888,1513.7477,1887.4144,2827.1465,2315.1436,2440.759,2841.457,2906.6499,2976.613,4113.5142
1794.957397,7904.4336,13158.6885,9960.0312,9022.0557,7529.2432,8230.3408,6456.1353,5293.999,2049.2388,2726.489,3033.3184,3200.2463,3287.6848,1343.3722,1564.3529,1912.5168,2737.6177,2262.2705,2429.1985,2866.3906,2929.9822,2963.3677,4111.1958
1793.385132,7887.1362,13146.8164,9980.5176,8882.168,7580.3613,8190.7319,6437.5054,5359.8193,2129.9399,2759.385,2926.2832,3226.7002,3322.0708,1335.1863,1486.1896,1959.8628,2776.8696,2295.2488,2439.894,2830.9128,2849.9871,2973.9685,4150.2041
